"Part";"Value";"Device";"Package";"Description";"MPN";"PN";"VALUE";
"C1";"10uf";"CERAMIC-10UF-10V-10%-X5R(0603)";"C0603";"302010103";"CC0603KRX5R6BB106";"";"10uf";
"C2";"1uf";"CERAMIC-1UF-25V-10%-X7R(0603)";"C0603";"302010139";"CC0603KRX7R8BB105";"";"1uf";
"C3";"1uf";"CERAMIC-1UF-25V-10%-X7R(0603)";"C0603";"302010139";"CC0603KRX7R8BB105";"";"1uf";
"C4";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"CC0805KKX5R8BB106";"302010178";"10uf";
"C5";"100nF";"CAP-0402";"C0402";"Ceramic Capacitors";"";"302010004";"";
"C6";"10uf";"CERAMIC-10UF-25V-10%-X5R(0805)";"C0805";"302010178";"CC0805KKX5R8BB106";"302010178";"10uf";
"C7";"100nF";"CAP-0402";"C0402";"Ceramic Capacitors";"";"302010004";"";
"C8";"4.7uF/16V";"006-CAP_AVX_A";"AVX_A";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";"";"";
"C9";"DNP";"CAP_AVX_A";"AVX-A";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";"";"";
"C10";"22uF/25V";"CAP-0805";"C0805";"Ceramic Capacitors";"";"";"";
"C11";"4.7uF";"C0805";"0805";"";"";"";"";
"C12";"2.2nF(DNP)";"C-0603";"C0603";"Ceramic Capacitors";"";"";"";
"C13";"22uF/25V";"CAP-0805";"C0805";"Ceramic Capacitors";"";"";"";
"C14";"22uF/25V";"CAP-0805";"C0805";"Ceramic Capacitors";"";"";"";
"C15";"DNP";"CAP_AVX_A";"AVX-A";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";"";"";
"D1";"20V-1A";"SMD-DIODE-SCHOTTKY-20V-1A(SOD-123)";"SOD-123";"304020034";"B5819W";"";"20V-1A";
"D2";"20V-1A";"SMD-DIODE-SCHOTTKY-20V-1A(SOD-123)";"SOD-123";"304020034";"B5819W";"";"20V-1A";
"D3";"YELLOW";"LED'0603'";"LED-0603";"";"";"";"";
"IC4051";"74HC4051_MUX";"SPARKFUN_74HC4051_MUX";"SPARKFUN_SO16";"";"";"";"";
"J1";"8266Left";"CONN_14LOCK";"1X14_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"J2";"8266Right";"CONN_14LOCK";"1X14_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";
"J3";"";"USB-MICRO-5P'5+4P'";"5+4P-SMD-0.65-B";"5+4P-SMD-0.65-B:320010000;5+2P-SMD-0.65-AB:340032001";"";"";"";
"JP1";"ArduCam";"MILLER_PINHD-1X8LOCK";"MILLER_1X08-LOCK";"PIN HEADER";"";"";"";
"JP100";"2P-2.54";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"P125-1102A0BS116A3";"";"2P-2.54";
"JP101";"2P-2.54";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"P125-1102A0BS116A3";"";"2P-2.54";
"JP102";"2P-2.54";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"P125-1102A0BS116A3";"";"2P-2.54";
"JP103";"2P-2.54";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"P125-1102A0BS116A3";"";"2P-2.54";
"JP104";"DNP";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"P125-1102A0BS116A3";"";"2P-2.54";
"JP105";"DNP";"DIP-WHITE-MALE-HEADER-VERT(2P-2.54)";"H2-2.54";"320020037";"P125-1102A0BS116A3";"";"2P-2.54";
"L1";"1uH";"INDUCTOR/FERRITE-BEAD'0603'";"L0603";"";"";"303010110";"";
"L2";"2.2UH-1.2A";"SMD-INDUCTOR-2.2UH-20%-1.2A(0805)";"L0805";"303010086";"LQM2MPN2R2MG0";"";"2.2UH-1.2A";
"R1";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"";"10K";
"R2";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"";"10K";
"R3";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"";"10K";
"R4";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"";"10K";
"R5";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"";"10K";
"R6";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"";"10K";
"R7";"100R";"SMD-RES-100R-5%-1/10W(0603)";"R0603";"301010090";"RC0603JR-07100RL";"";"100R";
"R8";"10K";"SMD-RES-10K-5%-1/(0402)";"R0402";"301010004";"RC0402JR-0710KL";"";"10K";
"R9";"100K";"SMD-RES-100K-1%-1/16W(0402)";"R0402";"301010456";"RC0402FR-07100KL";"301010666";"100K";
"R10";"22k";"SMD-RES-22K-1%-1/16W(0402)";"R0402";"";"RC0402FR-0722KL";"";"22k";
"R11";"100K";"SMD-RES-100K-1%-1/16W(0402)";"R0402";"301010456";"RC0402FR-07100KL";"301010666";"100K";
"R12";"22k";"SMD-RES-22K-1%-1/16W(0402)";"R0402";"";"RC0402FR-0722KL";"";"22k";
"R13";"3k";"RES-0603";"R0603";"";"";"";"";
"R14";"0";"RES-0603";"R0603";"";"";"";"";
"R15";"1k";"RES-0603";"R0603";"";"";"";"";
"R16";"0";"RES-0805";"R0805";"";"";"";"";
"U1";"ESP12F";"ESP-12F";"ESP-12F";"317060163";"";"";"";
"U2";"ETA3410D2I-T";"CONVERTER-ETA3410";"DFN8G-0.5-2X2MM";"3MHZ 2A High Step-Down Converter in DFN2x2-8L Package";"";"310030161";"";
"U3";"CN3065";"PMIC-CN3065-DFN8";"DFN-8";"310030101";"";"";"";
"U4";"ETA1036-50";"ETA1036";"SOT23-5";"";"";"";"";
